Trigger Data Ora RH_Raw T_Raw RH T
      47 2024-11-16 16:49:-750.520 43690 43690 -139.504 397.200
      48 2024-11-16 16:49:-750.518 43690 43690 -139.504 397.200
      49 2024-11-16 16:49:-750.516 43690 43690 -139.504 397.200
      50 2024-11-16 16:49:-750.514 43690 43690 -139.504 397.200
      51 2024-11-16 16:49:-750.512 43690 43690 -139.504 397.200
      52 2024-11-16 16:49:-750.510 43690 43690 -139.504 397.200
      53 2024-11-16 16:49:-750.508 43690 43690 -139.504 397.200
      54 2024-11-16 16:49:-750.506 43690 43690 -139.504 397.200
      55 2024-11-16 16:49:-750.504 43690 43690 -139.504 397.200
      56 2024-11-16 16:49:-750.502 43690 43690 -139.504 397.200
      57 2024-11-16 16:49:-750.500 43690 43690 -139.504 397.200
      58 2024-11-16 16:49:-750.498 43690 43690 -139.504 397.200
      59 2024-11-16 16:49:-750.496 43690 43690 -139.504 397.200
      60 2024-11-16 16:49:-750.494 43690 43690 -139.504 397.200
      61 2024-11-16 16:49:-750.492 43690 43690 -139.504 397.200
      62 2024-11-16 16:49:-750.490 43690 43690 -139.504 397.200
      63 2024-11-16 16:49:-750.488 43690 43690 -139.504 397.200
      64 2024-11-16 16:49:-750.486 43690 43690 -139.504 397.200
      65 2024-11-16 16:49:-750.484 43690 43690 -139.504 397.200
      66 2024-11-16 16:49:-750.481 43690 43690 -139.504 397.200
      67 2024-11-16 16:49:-750.479 43690 43690 -139.504 397.200
      68 2024-11-16 16:49:-750.477 43690 43690 -139.504 397.200
      69 2024-11-16 16:49:-750.475 43690 43690 -139.504 397.200
      70 2024-11-16 16:49:-750.473 43690 43690 -139.504 397.200
      71 2024-11-16 16:49:-750.471 43690 43690 -139.504 397.200
      72 2024-11-16 16:49:-750.469 43690 43690 -139.504 397.200
      73 2024-11-16 16:49:-750.467 43690 43690 -139.504 397.200
      74 2024-11-16 16:49:-750.464 43690 43690 -139.504 397.200
      75 2024-11-16 16:49:-750.462 43690 43690 -139.504 397.200
      76 2024-11-16 16:49:-750.460 43690 43690 -139.504 397.200
      77 2024-11-16 16:49:-750.458 43690 43690 -139.504 397.200
      78 2024-11-16 16:49:-750.456 43690 43690 -139.504 397.200
      79 2024-11-16 16:49:-750.453 43690 43690 -139.504 397.200
      80 2024-11-16 16:49:-750.451 43690 43690 -139.504 397.200
      81 2024-11-16 16:49:-750.449 43690 43690 -139.504 397.200
      82 2024-11-16 16:49:-750.447 43690 43690 -139.504 397.200
      83 2024-11-16 16:49:-750.445 43690 43690 -139.504 397.200
      84 2024-11-16 16:49:-750.442 43690 43690 -139.504 397.200
      85 2024-11-16 16:49:-750.440 43690 43690 -139.504 397.200
      86 2024-11-16 16:49:-750.438 43690 43690 -139.504 397.200
      87 2024-11-16 16:49:-750.436 43690 43690 -139.504 397.200
      88 2024-11-16 16:49:-750.433 43690 43690 -139.504 397.200
      89 2024-11-16 16:49:-750.431 43690 43690 -139.504 397.200
      90 2024-11-16 16:49:-750.429 43690 43690 -139.504 397.200
      91 2024-11-16 16:49:-750.427 43690 43690 -139.504 397.200
      92 2024-11-16 16:49:-750.424 43690 43690 -139.504 397.200
      93 2024-11-16 16:49:-750.422 43690 43690 -139.504 397.200
      94 2024-11-16 16:49:-750.420 43690 43690 -139.504 397.200
      95 2024-11-16 16:49:-750.417 43690 43690 -139.504 397.200
      96 2024-11-16 16:49:-750.415 43690 43690 -139.504 397.200
      97 2024-11-16 16:49:-750.413 43690 43690 -139.504 397.200
      98 2024-11-16 16:49:-750.410 43690 43690 -139.504 397.200
      99 2024-11-16 16:49:-750.408 43690 43690 -139.504 397.200
     100 2024-11-16 16:49:-750.406 43690 43690 -139.504 397.200
     101 2024-11-16 16:49:-750.403 43690 43690 -139.504 397.200
     102 2024-11-16 16:49:-750.401 43690 43690 -139.504 397.200
     103 2024-11-16 16:49:-750.399 43690 43690 -139.504 397.200
     104 2024-11-16 16:49:-750.396 43690 43690 -139.504 397.200
     105 2024-11-16 16:49:-750.394 43690 43690 -139.504 397.200
     106 2024-11-16 16:49:-750.392 43690 43690 -139.504 397.200
     107 2024-11-16 16:49:-750.389 43690 43690 -139.504 397.200
     108 2024-11-16 16:49:-750.387 43690 43690 -139.504 397.200
     109 2024-11-16 16:49:-750.384 43690 43690 -139.504 397.200
     110 2024-11-16 16:49:-750.382 43690 43690 -139.504 397.200
     111 2024-11-16 16:49:-750.379 43690 43690 -139.504 397.200
     112 2024-11-16 16:49:-750.377 43690 43690 -139.504 397.200
     113 2024-11-16 16:49:-750.374 43690 43690 -139.504 397.200
     114 2024-11-16 16:49:-750.372 43690 43690 -139.504 397.200
     115 2024-11-16 16:49:-750.370 43690 43690 -139.504 397.200
     116 2024-11-16 16:49:-750.367 43690 43690 -139.504 397.200
     117 2024-11-16 16:49:-750.365 43690 43690 -139.504 397.200
     118 2024-11-16 16:49:-750.362 43690 43690 -139.504 397.200
     119 2024-11-16 16:49:-750.360 43690 43690 -139.504 397.200
     120 2024-11-16 16:49:-750.357 43690 43690 -139.504 397.200
     121 2024-11-16 16:49:-750.355 43690 43690 -139.504 397.200
     122 2024-11-16 16:49:-750.352 43690 43690 -139.504 397.200
     123 2024-11-16 16:49:-750.349 43690 43690 -139.504 397.200
     124 2024-11-16 16:49:-750.347 43690 43690 -139.504 397.200
     125 2024-11-16 16:49:-750.344 43690 43690 -139.504 397.200
     126 2024-11-16 16:49:-750.342 43690 43690 -139.504 397.200
     127 2024-11-16 16:49:-750.339 43690 43690 -139.504 397.200
     128 2024-11-16 16:49:-750.337 43690 43690 -139.504 397.200
     129 2024-11-16 16:49:-750.334 43690 43690 -139.504 397.200
     130 2024-11-16 16:49:-750.331 43690 43690 -139.504 397.200
     131 2024-11-16 16:49:-750.329 43690 43690 -139.504 397.200
     132 2024-11-16 16:49:-750.326 43690 43690 -139.504 397.200
     133 2024-11-16 16:49:-750.323 43690 43690 -139.504 397.200
     134 2024-11-16 16:49:-750.321 43690 43690 -139.504 397.200
     135 2024-11-16 16:49:-750.318 43690 43690 -139.504 397.200
     136 2024-11-16 16:49:-750.315 43690 43690 -139.504 397.200
     137 2024-11-16 16:49:-750.313 43690 43690 -139.504 397.200
     138 2024-11-16 16:49:-750.310 43690 43690 -139.504 397.200
     139 2024-11-16 16:49:-750.307 43690 43690 -139.504 397.200
     140 2024-11-16 16:49:-750.305 43690 43690 -139.504 397.200
     141 2024-11-16 16:49:-750.302 43690 43690 -139.504 397.200
     142 2024-11-16 16:49:-750.299 43690 43690 -139.504 397.200
     143 2024-11-16 16:49:-750.297 43690 43690 -139.504 397.200
     144 2024-11-16 16:49:-750.294 43690 43690 -139.504 397.200
     145 2024-11-16 16:49:-750.291 43690 43690 -139.504 397.200
     146 2024-11-16 16:49:-750.288 43690 43690 -139.504 397.200
     147 2024-11-16 16:49:-750.285 43690 43690 -139.504 397.200
     148 2024-11-16 16:49:-750.283 43690 43690 -139.504 397.200
     149 2024-11-16 16:49:-750.280 43690 43690 -139.504 397.200
     150 2024-11-16 16:49:-750.277 43690 43690 -139.504 397.200
     151 2024-11-16 16:49:-750.274 43690 43690 -139.504 397.200
     152 2024-11-16 16:49:-750.271 43690 43690 -139.504 397.200
     153 2024-11-16 16:49:-750.269 43690 43690 -139.504 397.200
     154 2024-11-16 16:49:-750.266 43690 43690 -139.504 397.200
     155 2024-11-16 16:49:-750.263 43690 43690 -139.504 397.200
     156 2024-11-16 16:49:-750.260 43690 43690 -139.504 397.200
     157 2024-11-16 16:49:-750.257 43690 43690 -139.504 397.200
     158 2024-11-16 16:49:-750.254 43690 43690 -139.504 397.200
     159 2024-11-16 16:49:-750.251 43690 43690 -139.504 397.200
     160 2024-11-16 16:49:-750.248 43690 43690 -139.504 397.200
     161 2024-11-16 16:49:-750.245 43690 43690 -139.504 397.200
     162 2024-11-16 16:49:-750.242 43690 43690 -139.504 397.200
     163 2024-11-16 16:49:-750.240 43690 43690 -139.504 397.200
     164 2024-11-16 16:49:-750.237 43690 43690 -139.504 397.200
     165 2024-11-16 16:49:-750.234 43690 43690 -139.504 397.200
     166 2024-11-16 16:49:-750.231 43690 43690 -139.504 397.200
     167 2024-11-16 16:49:-750.228 43690 43690 -139.504 397.200
     168 2024-11-16 16:49:-750.225 43690 43690 -139.504 397.200
     169 2024-11-16 16:49:-750.222 43690 43690 -139.504 397.200
     170 2024-11-16 16:49:-750.219 43690 43690 -139.504 397.200
     171 2024-11-16 16:49:-750.216 43690 43690 -139.504 397.200
     172 2024-11-16 16:49:-750.212 43690 43690 -139.504 397.200
     173 2024-11-16 16:49:-750.209 43690 43690 -139.504 397.200
     174 2024-11-16 16:49:-750.206 43690 43690 -139.504 397.200
     175 2024-11-16 16:49:-750.203 43690 43690 -139.504 397.200
     176 2024-11-16 16:49:-750.200 43690 43690 -139.504 397.200
     177 2024-11-16 16:49:-750.197 43690 43690 -139.504 397.200
     178 2024-11-16 16:49:-750.194 43690 43690 -139.504 397.200
     179 2024-11-16 16:49:-750.191 43690 43690 -139.504 397.200
     180 2024-11-16 16:49:-750.188 43690 43690 -139.504 397.200
     181 2024-11-16 16:49:-750.184 43690 43690 -139.504 397.200
     182 2024-11-16 16:49:-750.181 43690 43690 -139.504 397.200
     183 2024-11-16 16:49:-750.178 43690 43690 -139.504 397.200
     184 2024-11-16 16:49:-750.175 43690 43690 -139.504 397.200
     185 2024-11-16 16:49:-750.172 43690 43690 -139.504 397.200
     186 2024-11-16 16:49:-750.168 43690 43690 -139.504 397.200
     187 2024-11-16 16:49:-750.165 43690 43690 -139.504 397.200
     188 2024-11-16 16:49:-750.162 43690 43690 -139.504 397.200
     189 2024-11-16 16:49:-750.159 43690 43690 -139.504 397.200
     190 2024-11-16 16:49:-750.155 43690 43690 -139.504 397.200
     191 2024-11-16 16:49:-750.152 43690 43690 -139.504 397.200
     192 2024-11-16 16:49:-750.149 43690 43690 -139.504 397.200
     193 2024-11-16 16:49:-750.145 43690 43690 -139.504 397.200
     194 2024-11-16 16:49:-750.142 43690 43690 -139.504 397.200
     195 2024-11-16 16:49:-750.139 43690 43690 -139.504 397.200
     196 2024-11-16 16:49:-750.135 43690 43690 -139.504 397.200
     197 2024-11-16 16:49:-750.132 43690 43690 -139.504 397.200
     198 2024-11-16 16:49:-750.129 43690 43690 -139.504 397.200
     199 2024-11-16 16:49:-750.125 43690 43690 -139.504 397.200
     200 2024-11-16 16:49:-750.122 43690 43690 -139.504 397.200
     201 2024-11-16 16:49:-750.118 43690 43690 -139.504 397.200
     202 2024-11-16 16:49:-750.115 43690 43690 -139.504 397.200
     203 2024-11-16 16:49:-750.111 43690 43690 -139.504 397.200
     204 2024-11-16 16:49:-750.108 43690 43690 -139.504 397.200
     205 2024-11-16 16:49:-750.104 43690 43690 -139.504 397.200
     206 2024-11-16 16:49:-750.101 43690 43690 -139.504 397.200
     207 2024-11-16 16:49:-750.097 43690 43690 -139.504 397.200
     208 2024-11-16 16:49:-750.094 43690 43690 -139.504 397.200
     209 2024-11-16 16:49:-750.090 43690 43690 -139.504 397.200
     210 2024-11-16 16:49:-750.087 43690 43690 -139.504 397.200
     211 2024-11-16 16:49:-750.083 43690 43690 -139.504 397.200
     212 2024-11-16 16:49:-750.079 43690 43690 -139.504 397.200
     213 2024-11-16 16:49:-750.076 43690 43690 -139.504 397.200
     214 2024-11-16 16:49:-750.072 43690 43690 -139.504 397.200
     215 2024-11-16 16:49:-750.069 43690 43690 -139.504 397.200
     216 2024-11-16 16:49:-750.065 43690 43690 -139.504 397.200
     217 2024-11-16 16:49:-750.061 43690 43690 -139.504 397.200
     218 2024-11-16 16:49:-750.058 43690 43690 -139.504 397.200
     219 2024-11-16 16:49:-750.054 43690 43690 -139.504 397.200
     220 2024-11-16 16:49:-750.050 43690 43690 -139.504 397.200
     221 2024-11-16 16:49:-750.046 43690 43690 -139.504 397.200
     222 2024-11-16 16:49:-750.043 43690 43690 -139.504 397.200
     223 2024-11-16 16:49:-750.039 43690 43690 -139.504 397.200
     224 2024-11-16 16:49:-750.035 43690 43690 -139.504 397.200
     225 2024-11-16 16:49:-750.031 43690 43690 -139.504 397.200
     226 2024-11-16 16:49:-750.027 43690 43690 -139.504 397.200
     227 2024-11-16 16:49:-750.024 43690 43690 -139.504 397.200
     228 2024-11-16 16:49:-750.020 43690 43690 -139.504 397.200
     229 2024-11-16 16:49:-750.016 43690 43690 -139.504 397.200
     230 2024-11-16 16:49:-750.012 43690 43690 -139.504 397.200
     231 2024-11-16 16:49:-750.008 43690 43690 -139.504 397.200
     232 2024-11-16 16:49:-750.004 43690 43690 -139.504 397.200
     233 2024-11-16 16:49:-750.000 43690 43690 -139.504 397.200
     234 2024-11-16 16:49:-749.996 43690 43690 -139.504 397.200
     235 2024-11-16 16:49:-749.992 43690 43690 -139.504 397.200
     236 2024-11-16 16:49:-749.988 43690 43690 -139.504 397.200
     237 2024-11-16 16:49:-749.984 43690 43690 -139.504 397.200
     238 2024-11-16 16:49:-749.980 43690 43690 -139.504 397.200
     239 2024-11-16 16:49:-749.976 43690 43690 -139.504 397.200
     240 2024-11-16 16:49:-749.972 43690 43690 -139.504 397.200
     241 2024-11-16 16:49:-749.968 43690 43690 -139.504 397.200
     242 2024-11-16 16:49:-749.964 43690 43690 -139.504 397.200
     243 2024-11-16 16:49:-749.960 43690 43690 -139.504 397.200
     244 2024-11-16 16:49:-749.956 43690 43690 -139.504 397.200
     245 2024-11-16 16:49:-749.952 43690 43690 -139.504 397.200
     246 2024-11-16 16:49:-749.947 43690 43690 -139.504 397.200
     247 2024-11-16 16:49:-749.943 43690 43690 -139.504 397.200
     248 2024-11-16 16:49:-749.939 43690 43690 -139.504 397.200
     249 2024-11-16 16:49:-749.935 43690 43690 -139.504 397.200
     250 2024-11-16 16:49:-749.930 43690 43690 -139.504 397.200
     251 2024-11-16 16:49:-749.926 43690 43690 -139.504 397.200
     252 2024-11-16 16:49:-749.922 43690 43690 -139.504 397.200
     253 2024-11-16 16:49:-749.918 43690 43690 -139.504 397.200
     254 2024-11-16 16:49:-749.913 43690 43690 -139.504 397.200
     255 2024-11-16 16:49:-749.909 43690 43690 -139.504 397.200
     256 2024-11-16 16:49:-749.904 43690 43690 -139.504 397.200
     257 2024-11-16 16:49:-749.900 43690 43690 -139.504 397.200
     258 2024-11-16 16:49:-749.896 43690 43690 -139.504 397.200
     259 2024-11-16 16:49:-749.891 43690 43690 -139.504 397.200
     260 2024-11-16 16:49:-749.887 43690 43690 -139.504 397.200
     261 2024-11-16 16:49:-749.882 43690 43690 -139.504 397.200
     262 2024-11-16 16:49:-749.878 43690 43690 -139.504 397.200
     263 2024-11-16 16:49:-749.873 43690 43690 -139.504 397.200
     264 2024-11-16 16:49:-749.869 43690 43690 -139.504 397.200
     265 2024-11-16 16:49:-749.864 43690 43690 -139.504 397.200
     266 2024-11-16 16:49:-749.860 43690 43690 -139.504 397.200
     267 2024-11-16 16:49:-749.855 43690 43690 -139.504 397.200
     268 2024-11-16 16:49:-749.850 43690 43690 -139.504 397.200
     269 2024-11-16 16:49:-749.846 43690 43690 -139.504 397.200
     270 2024-11-16 16:49:-749.841 43690 43690 -139.504 397.200
     271 2024-11-16 16:49:-749.836 43690 43690 -139.504 397.200
     272 2024-11-16 16:49:-749.832 43690 43690 -139.504 397.200
     273 2024-11-16 16:49:-749.827 43690 43690 -139.504 397.200
     274 2024-11-16 16:49:-749.822 43690 43690 -139.504 397.200
     275 2024-11-16 16:49:-749.817 43690 43690 -139.504 397.200
     276 2024-11-16 16:49:-749.812 43690 43690 -139.504 397.200
     277 2024-11-16 16:49:-749.808 43690 43690 -139.504 397.200
     278 2024-11-16 16:49:-749.803 43690 43690 -139.504 397.200
     279 2024-11-16 16:49:-749.798 43690 43690 -139.504 397.200
     280 2024-11-16 16:49:-749.793 43690 43690 -139.504 397.200
     281 2024-11-16 16:49:-749.788 43690 43690 -139.504 397.200
     282 2024-11-16 16:49:-749.783 43690 43690 -139.504 397.200
     283 2024-11-16 16:49:-749.778 43690 43690 -139.504 397.200
     284 2024-11-16 16:49:-749.773 43690 43690 -139.504 397.200
     285 2024-11-16 16:49:-749.768 43690 43690 -139.504 397.200
     286 2024-11-16 16:49:-749.763 43690 43690 -139.504 397.200
     287 2024-11-16 16:49:-749.758 43690 43690 -139.504 397.200
     288 2024-11-16 16:49:-749.753 43690 43690 -139.504 397.200
     289 2024-11-16 16:49:-749.748 43690 43690 -139.504 397.200
     290 2024-11-16 16:49:-749.742 43690 43690 -139.504 397.200
     291 2024-11-16 16:49:-749.737 43690 43690 -139.504 397.200
     292 2024-11-16 16:49:-749.732 43690 43690 -139.504 397.200
     293 2024-11-16 16:49:-749.727 43690 43690 -139.504 397.200
     294 2024-11-16 16:49:-749.721 43690 43690 -139.504 397.200
     295 2024-11-16 16:49:-749.716 43690 43690 -139.504 397.200
     296 2024-11-16 16:49:-749.711 43690 43690 -139.504 397.200
     297 2024-11-16 16:49:-749.705 43690 43690 -139.504 397.200
     298 2024-11-16 16:49:-749.700 43690 43690 -139.504 397.200
     299 2024-11-16 16:49:-749.695 43690 43690 -139.504 397.200
     300 2024-11-16 16:49:-749.689 43690 43690 -139.504 397.200
     301 2024-11-16 16:49:-749.684 43690 43690 -139.504 397.200
     302 2024-11-16 16:49:-749.678 43690 43690 -139.504 397.200
     303 2024-11-16 16:49:-749.673 43690 43690 -139.504 397.200
     304 2024-11-16 16:49:-749.667 43690 43690 -139.504 397.200
     305 2024-11-16 16:49:-749.662 43690 43690 -139.504 397.200
     306 2024-11-16 16:49:-749.656 43690 43690 -139.504 397.200
     307 2024-11-16 16:49:-749.650 43690 43690 -139.504 397.200
     308 2024-11-16 16:49:-749.645 43690 43690 -139.504 397.200
     309 2024-11-16 16:49:-749.639 43690 43690 -139.504 397.200
     310 2024-11-16 16:49:-749.633 43690 43690 -139.504 397.200
     311 2024-11-16 16:49:-749.627 43690 43690 -139.504 397.200
     312 2024-11-16 16:49:-749.622 43690 43690 -139.504 397.200
     313 2024-11-16 16:49:-749.616 43690 43690 -139.504 397.200
     314 2024-11-16 16:49:-749.610 43690 43690 -139.504 397.200
     315 2024-11-16 16:49:-749.604 43690 43690 -139.504 397.200
     316 2024-11-16 16:49:-749.598 43690 43690 -139.504 397.200
     317 2024-11-16 16:49:-749.592 43690 43690 -139.504 397.200
     318 2024-11-16 16:49:-749.586 43690 43690 -139.504 397.200
     319 2024-11-16 16:49:-749.580 43690 43690 -139.504 397.200
     320 2024-11-16 16:49:-749.574 43690 43690 -139.504 397.200
     321 2024-11-16 16:49:-749.568 43690 43690 -139.504 397.200
     322 2024-11-16 16:49:-749.562 43690 43690 -139.504 397.200
     323 2024-11-16 16:49:-749.556 43690 43690 -139.504 397.200
     324 2024-11-16 16:49:-749.550 43690 43690 -139.504 397.200
     325 2024-11-16 16:49:-749.543 43690 43690 -139.504 397.200
     326 2024-11-16 16:49:-749.537 43690 43690 -139.504 397.200
     327 2024-11-16 16:49:-749.531 43690 43690 -139.504 397.200
     328 2024-11-16 16:49:-749.524 43690 43690 -139.504 397.200
     329 2024-11-16 16:49:-749.518 43690 43690 -139.504 397.200
     330 2024-11-16 16:49:-749.512 43690 43690 -139.504 397.200
     331 2024-11-16 16:49:-749.505 43690 43690 -139.504 397.200
     332 2024-11-16 16:49:-749.499 43690 43690 -139.504 397.200
     333 2024-11-16 16:49:-749.492 43690 43690 -139.504 397.200
     334 2024-11-16 16:49:-749.486 43690 43690 -139.504 397.200
     335 2024-11-16 16:49:-749.479 43690 43690 -139.504 397.200
     336 2024-11-16 16:49:-749.473 43690 43690 -139.504 397.200
     337 2024-11-16 16:49:-749.466 43690 43690 -139.504 397.200
     338 2024-11-16 16:49:-749.459 43690 43690 -139.504 397.200
     339 2024-11-16 16:49:-749.452 43690 43690 -139.504 397.200
     340 2024-11-16 16:49:-749.446 43690 43690 -139.504 397.200
     341 2024-11-16 16:49:-749.439 43690 43690 -139.504 397.200
     342 2024-11-16 16:49:-749.432 43690 43690 -139.504 397.200
     343 2024-11-16 16:49:-749.425 43690 43690 -139.504 397.200
     344 2024-11-16 16:49:-749.418 43690 43690 -139.504 397.200
     345 2024-11-16 16:49:-749.411 43690 43690 -139.504 397.200
     346 2024-11-16 16:49:-749.404 43690 43690 -139.504 397.200
     347 2024-11-16 16:49:-749.397 43690 43690 -139.504 397.200
     348 2024-11-16 16:49:-749.390 43690 43690 -139.504 397.200
     349 2024-11-16 16:49:-749.383 43690 43690 -139.504 397.200
     350 2024-11-16 16:49:-749.376 43690 43690 -139.504 397.200
     351 2024-11-16 16:49:-749.368 43690 43690 -139.504 397.200
     352 2024-11-16 16:49:-749.361 43690 43690 -139.504 397.200
     353 2024-11-16 16:49:-749.354 43690 43690 -139.504 397.200
     354 2024-11-16 16:49:-749.346 43690 43690 -139.504 397.200
     355 2024-11-16 16:49:-749.339 43690 43690 -139.504 397.200
     356 2024-11-16 16:49:-749.332 43690 43690 -139.504 397.200
     357 2024-11-16 16:49:-749.324 43690 43690 -139.504 397.200
     358 2024-11-16 16:49:-749.316 43690 43690 -139.504 397.200
     359 2024-11-16 16:49:-749.309 43690 43690 -139.504 397.200
     360 2024-11-16 16:49:-749.301 43690 43690 -139.504 397.200
     361 2024-11-16 16:49:-749.294 43690 43690 -139.504 397.200
     362 2024-11-16 16:49:-749.286 43690 43690 -139.504 397.200
     363 2024-11-16 16:49:-749.278 43690 43690 -139.504 397.200
     364 2024-11-16 16:49:-749.270 43690 43690 -139.504 397.200
     365 2024-11-16 16:49:-749.262 43690 43690 -139.504 397.200
     366 2024-11-16 16:49:-749.254 43690 43690 -139.504 397.200
     367 2024-11-16 16:49:-749.246 43690 43690 -139.504 397.200
     368 2024-11-16 16:49:-749.238 43690 43690 -139.504 397.200
     369 2024-11-16 16:49:-749.230 43690 43690 -139.504 397.200
     370 2024-11-16 16:49:-749.222 43690 43690 -139.504 397.200
     371 2024-11-16 16:49:-749.214 43690 43690 -139.504 397.200
     372 2024-11-16 16:49:-749.206 43690 43690 -139.504 397.200
     373 2024-11-16 16:49:-749.197 43690 43690 -139.504 397.200
     374 2024-11-16 16:49:-749.189 43690 43690 -139.504 397.200
     375 2024-11-16 16:49:-749.181 43690 43690 -139.504 397.200
     376 2024-11-16 16:49:-749.172 43690 43690 -139.504 397.200
     377 2024-11-16 16:49:-749.164 43690 43690 -139.504 397.200
     378 2024-11-16 16:49:-749.155 43690 43690 -139.504 397.200
     379 2024-11-16 16:49:-749.146 43690 43690 -139.504 397.200
     380 2024-11-16 16:49:-749.138 43690 43690 -139.504 397.200
     381 2024-11-16 16:49:-749.129 43690 43690 -139.504 397.200
     382 2024-11-16 16:49:-749.120 43690 43690 -139.504 397.200
     383 2024-11-16 16:49:-749.111 43690 43690 -139.504 397.200
     384 2024-11-16 16:49:-749.102 43690 43690 -139.504 397.200
     385 2024-11-16 16:49:-749.093 43690 43690 -139.504 397.200
     386 2024-11-16 16:49:-749.084 43690 43690 -139.504 397.200
     387 2024-11-16 16:49:-749.075 43690 43690 -139.504 397.200
     388 2024-11-16 16:49:-749.066 43690 43690 -139.504 397.200
     389 2024-11-16 16:49:-749.057 43690 43690 -139.504 397.200
     390 2024-11-16 16:49:-749.048 43690 43690 -139.504 397.200
     391 2024-11-16 16:49:-749.038 43690 43690 -139.504 397.200
     392 2024-11-16 16:49:-749.029 43690 43690 -139.504 397.200
     393 2024-11-16 16:49:-749.019 43690 43690 -139.504 397.200
     394 2024-11-16 16:49:-749.010 43690 43690 -139.504 397.200
     395 2024-11-16 16:49:-749.000 43690 43690 -139.504 397.200
     396 2024-11-16 16:49:-748.991 43690 43690 -139.504 397.200
     397 2024-11-16 16:49:-748.981 43690 43690 -139.504 397.200
     398 2024-11-16 16:49:-748.971 43690 43690 -139.504 397.200
     399 2024-11-16 16:49:-748.961 43690 43690 -139.504 397.200
     400 2024-11-16 16:49:-748.951 43690 43690 -139.504 397.200
     401 2024-11-16 16:49:-748.941 43690 43690 -139.504 397.200
     402 2024-11-16 16:49:-748.931 43690 43690 -139.504 397.200
     403 2024-11-16 16:49:-748.921 43690 43690 -139.504 397.200
     404 2024-11-16 16:49:-748.911 43690 43690 -139.504 397.200
     405 2024-11-16 16:49:-748.900 43690 43690 -139.504 397.200
     406 2024-11-16 16:49:-748.890 43690 43690 -139.504 397.200
     407 2024-11-16 16:49:-748.879 43690 43690 -139.504 397.200
     408 2024-11-16 16:49:-748.869 43690 43690 -139.504 397.200
     409 2024-11-16 16:49:-748.858 43690 43690 -139.504 397.200
     410 2024-11-16 16:49:-748.848 43690 43690 -139.504 397.200
